repo_id,match_source,count
OpenGene/fastp/v0.23.4,code_comment,1039
OpenGene/fastp/v0.23.4,docs,1
allenai/scispacy/v0.5.5,code_comment,267
allenai/scispacy/v0.5.5,docs,6
google/deepvariant/v1.6.1,code_comment,38034
google/deepvariant/v1.6.1,docs,259
netbox-community/netbox/v4.4.1,code_comment,68600
netbox-community/netbox/v4.4.1,docs,2985
paperless-ngx/paperless-ngx/v2.18.4,code_comment,14274
paperless-ngx/paperless-ngx/v2.18.4,docs,816
root-project/root/v6-32-06,code_comment,1249186
root-project/root/v6-32-06,docs,5595
root-project/root/v6-32-06,wiki,83
saleor/saleor/3.21.19,code_comment,167095
saleor/saleor/3.21.19,docs,155
scverse/scanpy/1.10.2,code_comment,2350
scverse/scanpy/1.10.2,docs,102
scverse/scanpy/1.10.2,wiki,54
wagtail/wagtail/v7.1.1,code_comment,75135
wagtail/wagtail/v7.1.1,docs,4405
zulip/zulip/11.2,code_comment,83060
zulip/zulip/11.2,docs,5490
